#,,,0,,,,,
*,MATERIAL SUPPLIED BY CUSTOMER,,0,,,,,
0001AA,SIZE 6.250 FULL DRESS SHAKO,,32.8,,,,,
0001AB,SIZE 6.375 FULL DRESS SHAKO,,32.8,,,,,
0001AC,SIZE 6.5   FULL DRESS SHAKO,,32.8,,,,,
0001AD,SIZE 6.625 FULL DRESS SHAKO,,32.8,,,,,
0001AE,SIZE 6.750 FULL DRESS SHAKO,,32.8,,,,,
0001AF,SIZE 6.875 FULL DRESS SHAKO,,32.8,,,,,
0001AG,SIZE 7     FULL DRESS SHAKO,,32.8,,,,,
0001AH,SIZE 7.125 FULL DRESS SHAKO,,32.8,,,,,
0001AJ,SIZE 7.250 FULL DRESS SHAKO,,32.8,,,,,
0001AK,SIZE 7.375 FULL DRESS SHAKO,,32.8,,,,,
0001AL,SIZE 7.5   FULL DRESS SHAKO,,32.8,,,,,
0001AM,SIZE 7.625 FULL DRESS SHAKO,,32.8,,,,,
0001AN,SIZE 7.750 FULL DRESS SHAKO,,32.8,,,,,
0001AP,SIZE 7.875 FULL DRESS SHAKO,,32.8,,,,,
0001AQ,SIZE 8     FULL DRESS SHAKO,,32.8,,,,,
0001AR,SIZE  .0   FULL DRESS SHAKO,,31.4,,,,,
07BB2C0,"9807,BLACK,B.BRD,9820,SFD,8501",,41,,,,,
07BB2C2,"9807,BLACK,B.BRD,9820,SFD,7035",,46,,,,,
07BB2C4,"9807,BLACK,B.BRD,9820,SFD,8525",,44.5,,,,,
07BB2D0,"9807,BLACK,B.BRD,9820,GFD,8501",,41,,,,,
07BB3D1,"9807,BLACK,B.BRD,9830,GFD,7033",,46,,,,,
07BB4C4,"9807,BLACK,B.BRD,9845,SFD,8525",,44.5,,,,,
07BB6D3,"9807,BLACK,B.BR,63013,GFD,8519",,68.5,,,,,
07BM2C0,"9807,BLACK,MESH,9820,S.FD,8501",,38,,,,,
07BM2C2,"9807,BLACK,MESH,9820,S.FD,7035",,43,,,,,
07BM2D0,"9807,BLACK,MESH,9820,G.FD,8501",,38,,,,,
07BM2D1,"9807,BLACK,MESH,9820,G.FD,7033",,43,,,,,
07BM2D5,"9807,BLACK,MESH,9820,G.FD,8526",,41,,,,,
07BM3D3,"9807,BLACK,MESH,9830,G.FD,8519",,41.5,,,,,
07BO2C0,"9807,BLACK,OPEN,9820,S.FD,8501",,39.5,,,,,
07BS2C0,"9807,BLACK,SAME,9820,S.FD,8501",,38,,,,,
07BS2C2,"9807,BLACK,SAME,9820,S.FD,7035",,43,,,,,
07BS2C4,"9807,BLACK,SAME,9820,S.FD,8525",,41.5,,,,,
07BS2C6,"9807,BLACK,SAME,9820,S.FD,8511",,41,,,,,
07BS2D0,"9807,BLACK,SAME,9820,G.FD,8501",,38,,,,,
07BS2D1,"9807,BLACK,SAME,9820,G.FD,7033",,43,,,,,
07BS2D3,"9807,BLACK,SAME,9820,G.FD,8519",,41.5,,,,,
07BS2D5,"9807,BLACK,SAME,9820,G.FD,8526",,41,,,,,
07BS2E0,"9807,BLACK,SAME,9820,S.S,8501",,38,,,,,
07BS2H0,"9807,BLK,SAME,9820,S.BALL,8501",,38,,,,,
07BS3C0,"9807,BLACK,SAME,9830,S.FD,8501",,38,,,,,
07BS6D3,"9807,BLACK,SAME,63013,GFD,8519",,65.5,,,,,
07BS9C4,"9807,BLACK,SAME,6307,S.FD,8525",,65.5,,,,,
07BV2C0,"9807,BLACK,VELV,9820,S.FD,8501",,58,,,,,
07BV2H0,"9807,BLK,VELV,9820,S.BALL,8501",,58,,,,,
07BV9C4,"9807,BLACK,VELV,6307,S.FD,8525",,85.5,,,,,
07GB1D3,"9807,WHITE,B.BR,63095,GFD,8519",,84.5,,,,,
07GB2C0,"9807,WHITE,B.BR,9820,S.FD,8501",,41,,,,,
07GB2C2,"9807,WHITE,B.BR,9820,S.FD,7035",,46,,,,,
07GB2C4,"9807,WHITE,B.BR,9820,S.FD,8525",,44.5,,,,,
07GB2D0,"9807,WHITE,B.BR,9820,G.FD,8501",,41,,,,,
07GB2D1,"9807,WHITE,B.BR,9820,G.FD,7033",,46,,,,,
07GB2D1B,"9807,WHT,B.BR,9820,GFD,7033,BE",,46,,,,,
07GB2D3,"9807,WHITE,B.BR,9820,G.FD,8519",,44.5,,,,,
07GB2D3B,"9807,WHT,B.BR,9820,GFD,8519,BE",,44.5,,,,,
07GB2D5,"9807,WHITE,B.BR,9820,G.FD,8526",,44,,,,,
07GB2D8,"9807,WHITE,B.BR,9820,G.FD,7105",,48.8,,,,,
07GB3C2,"9807,WHITE,B.BR,9830,S.FD,7035",,46,,,,,
07GB3C4,"9807,WHITE,B.BR,9830,S.FD,8525",,44.5,,,,,
07GB3D0,"9807,WHITE,B.BR,9830,G.FD,8501",,41,,,,,
07GB3D1,"9807,WHITE,B.BR,9830,G.FD,7033",,46,,,,,
07GB3D3,"9807,WHITE,B.BR,9830,G.FD,8519",,44.5,,,,,
07GB6D0,"9807,WHITE,B.BR,63013,GFD,8501",,65,,,,,
07GB6D1,"9807,WHITE,B.BR,63013,GFD,7033",,70,,,,,
07GB6D3,"9807,WHITE,B.BR,63013,GFD,8519",,68.5,,,,,
07GB7D0,"9807,WHITE,B.BR,6303,G.FD,8501",,54,,,,,
07GB7D5,"9807,WHITE,B.BR,6303,G.FD,8526",,57,,,,,
07GB8D0,"9807,WHITE,B.BR,6309,G.FD,8501",,65,,,,,
07GB8D1,"9807,WHITE,B.BR,6309,G.FD,7033",,70,,,,,
07GB8D3,"9807,WHITE,B.BR,6309,G.FD,8519",,68.5,,,,,
07GB8D3B,"9807,WHT,B.BR,6309,GFD,8519,BE",,68.5,,,,,
07GB8D8,"9807,WHITE,B.BR,6309,G.FD,7105",,72.8,,,,,
07GM2C0,"9807,WHITE,MESH,9830,S.FD,8501",,38,,,,,
07GM2C2,"9807,WHITE,MESH,9820,S.FD,7035",,43,,,,,
07GM2C4,"9807,WHITE,MESH,9820,S.FD,8525",,41.5,,,,,
07GM2C9,"9807,WHITE,MESH,9820,S.FD,7109",,45.8,,,,,
07GM2D0,"9807,WHITE,MESH,9820,G.FD,8501",,38,,,,,
07GM2D1,"9807,WHITE,MESH,9820,G.FD,7033",,43,,,,,
07GM2D3,"9807,WHITE,MESH,9820,G.FD,8519",,41.5,,,,,
07GM2D5,"9807,WHITE,MESH,9820,G.FD,8526",,41,,,,,
07GM2D6,"9807,WHITE,MESH,9820,G.FD,8511",,41,,,,,
07GM3C0,"9807,WHITE,MESH,9830,S.FD,8501",,38,,,,,
07GM3C2,"9807,WHITE,MESH,9830,S.FD,7035",,43,,,,,
07GM3D0,"9807,WHITE,MESH,9830,G.FD,8501",,38,,,,,
07GM3D1,"9807,WHITE,MESH,9830,G.FD,7033",,43,,,,,
07GM3D3,"9807,WHITE,MESH,9830,G.FD,8519",,41.5,,,,,
07GM6D0,"9807,WHITE,MESH,63013,GFD,8501",,62,,,,,
07GM6D1,"9807,WHITE,MESH,63013,GFD,7033",,67,,,,,
07GM6D3,"9807,WHITE,MESH,63013,GFD,8519",,65.5,,,,,
07GM6D3D,"9807,WHT,MESH,6301,GFD,8519,WB",,68.5,,,,,
07GM6D8,"9807,WHITE,MESH,63013,GFD,7105",,69.8,,,,,
07GM6D8D,"9807,WHT,MESH,6301,GFD,7105,WB",,72.8,,,,,
07GM7D0,"9807,WHITE,MESH,6303,G.FD,8501",,51,,,,,
07GM7D5,"9807,WHITE,MESH,6303,G.FD,8526",,54,,,,,
07GM8D0,"9807,WHITE,MESH,6309,G.FD,8501",,62,,,,,
07GM8D3,"9807,WHITE,MESH,6309,G.FD,8519",,65.5,,,,,
07GO1D3,"9807,WHITE,OPEN,63095,GFD,8519",,83,,,,,
07GO2D0,"9807,WHITE,OPEN,9820,G.FD,8501",,39.5,,,,,
07GO2D1,"9807,WHITE,OPEN,9820,G.FD,7033",,44.5,,,,,
07GO2D3,"9807,WHITE,OPEN,9820,G.FD,8519",,43,,,,,
07GO2D8,"9807,WHITE,OPEN,9820,G.FD,7105",,47.3,,,,,
07GO3D0,"9807,WHITE,OPEN,9830,G.FD,8501",,39.5,,,,,
07GO6D0,"9807,WHITE,OPEN,63013,GFD,8501",,63.5,,,,,
07GO6D3,"9807,WHITE,OPEN,63013,GFD,8519",,67,,,,,
07GO7D5,"9807,WHITE,OPEN,6303,G.FD,8526",,55.5,,,,,
07GO7D8,"9807,WHITE,OPEN,6303,G.FD,7105",,60.3,,,,,
07GO8D8,"9807,WHITE,OPEN,6309,G.FD,7105",,71.3,,,,,
07GR2D3,"9807,WHT,RED BR,9820,G.FD,8519",,44.5,,,,,
07GS1D0,"9807,WHITE,SAME,63095,GFD,8501",,78,,,,,
07GS2C0,"9807,WHITE,SAME,9820,S.FD,8501",,38,,,,,
07GS2C2,"9807,WHITE,SAME,9820,S.FD,7035",,43,,,,,
07GS2C4,"9807,WHITE,SAME,9820,S.FD,8525",,41.5,,,,,
07GS2D0,"9807,WHITE,SAME,9820,G.FD,8501",,38,,,,,
07GS2D1,"9807,WHITE,SAME,9820,G.FD,7033",,43,,,,,
07GS2D3,"9807,WHITE,SAME,9820,G.FD,8519",,41.5,,,,,
07GS2D3D,"9807,WHT,SAME,9820,GFD,8519,WB",,44.5,,,,,
07GS2D5,"9807,WHITE,SAME,9820,G.FD,8526",,41,,,,,
07GS2D8,"9807,WHITE,SAME,9820,G.FD,7105",,45.8,,,,,
07GS3D1,"9807,WHITE,SAME,9830,G.FD,7033",,43,,,,,
07GS6D1,"9807,WHITE,SAME,63013,GFD,7033",,67,,,,,
07GS6D3,"9807,WHITE,SAME,63013,GFD,8519",,65.5,,,,,
07GS7D0,"9807,WHITE,SAME,6303,G.FD,8501",,51,,,,,
07GS7D5,"9807,WHITE,SAME,6303,G.FD,8526",,54,,,,,
07GS8D0,"9807,WHITE,SAME,6309,G.FD,8501",,62,,,,,
07GS8D3,"9807,WHITE,SAME,6309,G.FD,8519",,65.5,,,,,
07GS9C2,"9807,WHITE,SAME,6307,S.FD,7035",,67,,,,,
07GSID0,"9807,WHITE,SAME,6296,G.FD,8501",,62,,,,,
07GV2C0,"9807,WHITE,VELV,9820,S.FD,8501",,58,,,,,
07GV2C2,"9807,WHITE,VELV,9820,S.FD,7035",,63,,,,,
07GV2C6,"9807,WHITE,VELV,9820,S.FD,8511",,61,,,,,
07GV2C9,"9807,WHITE,VELV,9820,S.FD,7109",,65.8,,,,,
07GV2D0,"9807,WHITE,VELV,9820,G.FD,8501",,58,,,,,
07GV2D1,"9807,WHITE,VELV,9820,G.FD,7033",,63,,,,,
07GV2D3,"9807,WHITE,VELV,9820,G.FD,8519",,61.5,,,,,
07GV2D5,"9807,WHITE,VELV,9820,G.FD,8526",,61,,,,,
07GV2D8,"9807,WHITE,VELV,9820,G.FD,7105",,65.8,,,,,
07GV3C0,"9807,WHITE,VELV,9830,S.FD,8501",,58,,,,,
07GV3D0,"9807,WHITE,VELV,9830,G.FD,8501",,58,,,,,
07GV3D1,"9807,WHITE,VELV,9830,G.FD,7033",,63,,,,,
07GV3D3,"9807,WHITE,VELV,9830,G.FD,8519",,61.5,,,,,
07GV3D5,"9807,WHITE,VELV,9830,G.FD,8526",,61,,,,,
07GV6D0,"9807,WHITE,VELV,63013,GFD,8501",,82,,,,,
07GV6D1,"9807,WHITE,VELV,63013,GFD,7033",,87,,,,,
07GV6D3,"9807,WHITE,VELV,63013,GFD,8519",,85.5,,,,,
07GV6D8,"9807,WHITE,VELV,63013,GFD,7105",,89.8,,,,,
07GV7D0,"9807,WHITE,VELV,6303,G.FD,8501",,71,,,,,
07GV7D1,"9807,WHITE,VELV,6303,G.FD,7033",,76,,,,,
07GV7D3,"9807,WHITE,VELV,6303,G.FD,8519",,74.5,,,,,
07GV7D5,"9807,WHITE,VELV,6303,G.FD,8526",,74,,,,,
07GV8D0,"9807,WHITE,VELV,6309,G.FD,8501",,82,,,,,
07GV8D1,"9807,WHITE,VELV,6309,G.FD,7033",,87,,,,,
07GV8D3,"9807,WHITE,VELV,6309,G.FD,8519",,85.5,,,,,
07GV8D8,"9807,WHITE,VELV,6309,G.FD,7105",,89.8,,,,,
07GVFD1,"9807,WHITE,VELV,FELT,G.FD,7033",,70,,,,,
07GW1D3,"9807,WHITE,W.BR,63095,GFD,8519",,84.5,,,,,
07GW2C0,"9807,WHITE,W.BRD,9820,SFD,8501",,41,,,,,
07GW2C2,"9807,WHITE,W.BRD,9820,SFD,7035",,46,,,,,
07GW2C4,"9807,WHITE,W.BRD,9820,SFD,8525",,44.5,,,,,
07GW2D0,"9807,WHITE,W.BRD,9820,GFD,8501",,41,,,,,
07GW2D1,"9807,WHITE,W.BRD,9820,GFD,7033",,46,,,,,
07GW2D3,"9807,WHITE,W.BRD,9820,GFD,8519",,44.5,,,,,
07GW2D5,"9807,WHITE,W.BRD,9820,GFD,8526",,44,,,,,
07GW3G1,"9807,WHITE,W.BRD,9830,G.B,7033",,46,,,,,
07GW6D0,"9807,WHITE,W.BR,63013,GFD,8501",,65,,,,,
07GW6D3,"9807,WHITE,W.BR,63013,GFD,8519",,68.5,,,,,
07GW7D1,"9807,WHITE,W.BRD,6303,GFD,7033",,59,,,,,
07GW7D3,"9807,WHITE,W.BRD,6303,GFD,8519",,57.5,,,,,
07GW8D1,"9807,WHITE,W.BRD,6309,GFD,7033",,70,,,,,
07GW8D3,"9807,WHITE,W.BRD,6309,GFD,8519",,68.5,,,,,
07GW8D8,"9807,WHITE,W.BRD,6309,GFD,7105",,72.8,,,,,
07GWFD8,"9807,WHITE,W.BRD,FELT,GFD,7105",,55.8,,,,,
07GWHD3,"9807,WHITE,W.BRD,6297,GFD,8519",,68.5,,,,,
07NB1D8,"9807,NAVY,B.BRD,63095,GFD,7105",,88.8,,,,,
07NB2B0,"9807,NAVY,B.BRD,9820,G.P,8501",,41,,,,,
07NB2C0,"9807,NAVY,B.BRD,9820,S.FD,8501",,41,,,,,
07NB2C2,"9807,NAVY,B.BRD,9820,S.FD,7035",,46,,,,,
07NB2C4,"9807,NAVY,B.BRD,9820,S.FD,8525",,44.5,,,,,
07NB2C9,"9807,NAVY,B.BRD,9820,S.FD,7109",,48.8,,,,,
07NB2D0,"9807,NAVY,B.BRD,9820,G.FD,8501",,41,,,,,
07NB2D1,"9807,NAVY,B.BRD,9820,G.FD,7033",,46,,,,,
07NB2D3,"9807,NAVY,B.BRD,9820,G.FD,8519",,44.5,,,,,
07NB2D5,"9807,NAVY,B.BRD,9820,G.FD,8526",,44,,,,,
07NB8D8,"9807,NAVY,B.BRD,6309,G.FD,7105",,72.8,,,,,
07NM2C0,"9807,NAVY,MESH,9820,S.FD,8501",,38,,,,,
07NM2C2,"9807,NAVY,MESH,9820,S.FD,7035",,43,,,,,
